"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","1.50416265588567e-05","125","3794","68","0.0179230363732209","0.544","GO:0000075","GO:BP","cell cycle checkpoint signaling","11884","25","c(""GO:0035556"", ""GO:1901988"")"
"query_1","TRUE","2.12062717374793e-05","89","3794","52","0.0137058513442277","0.584269662921348","GO:0007093","GO:BP","mitotic cell cycle checkpoint signaling","11884","2542","c(""GO:0000075"", ""GO:0045930"", ""GO:1903047"")"
"query_1","TRUE","2.43103936156645e-05","31","3794","24","0.00632577754348972","0.774193548387097","GO:0006270","GO:BP","DNA replication initiation","11884","1978","c(""GO:0006259"", ""GO:0006261"")"
"query_1","TRUE","2.61052964698625e-05","548","3794","230","0.0606220347917765","0.41970802919708","GO:0033365","GO:BP","protein localization to organelle","11884","7636","GO:0008104"
"query_1","TRUE","2.94163661904404e-05","83","3794","49","0.0129151291512915","0.590361445783133","GO:0006119","GO:BP","oxidative phosphorylation","11884","1875","GO:0009060"
"query_1","TRUE","3.50453205516339e-05","161","3794","82","0.0216130732735899","0.509316770186335","GO:1901988","GO:BP","negative regulation of cell cycle phase transition","11884","20445","c(""GO:0010948"", ""GO:0044770"", ""GO:1901987"")"
"query_1","TRUE","4.07490752564253e-05","77","3794","46","0.0121244069583553","0.597402597402597","GO:0050000","GO:BP","chromosome localization","11884","12329","GO:0051640"
"query_1","TRUE","4.34138468592047e-05","2614","3794","939","0.247496046389035","0.359219586840092","GO:0032774","GO:BP","RNA biosynthetic process","11884","7314","c(""GO:0016070"", ""GO:0141187"")"
"query_1","TRUE","5.11751226953356e-05","182","3794","90","0.0237216657880865","0.494505494505495","GO:0010948","GO:BP","negative regulation of cell cycle process","11884","4313","c(""GO:0010564"", ""GO:0022402"", ""GO:0045786"")"
"query_1","TRUE","5.43934712366324e-05","98","3794","55","0.0144965735371639","0.561224489795918","GO:0051236","GO:BP","establishment of RNA localization","11884","12689","c(""GO:0006403"", ""GO:0051234"")"
"query_1","TRUE","6.16684060957324e-05","606","3794","249","0.0656299420137059","0.410891089108911","GO:0007017","GO:BP","microtubule-based process","11884","2492","GO:0009987"
"query_1","TRUE","6.39237952395468e-05","52","3794","34","0.00896151818661044","0.653846153846154","GO:0042775","GO:BP","mitochondrial ATP synthesis coupled electron transport","11884","9706","GO:0042773"
"query_1","TRUE","6.60837911004394e-05","34","3794","25","0.00658935160780179","0.735294117647059","GO:0044786","GO:BP","cell cycle DNA replication","11884","10407","c(""GO:0006261"", ""GO:0022402"")"
"query_1","TRUE","6.60837911004394e-05","50","3794","33","0.00869794412229836","0.66","GO:0000380","GO:BP","alternative mRNA splicing, via spliceosome","11884","111","GO:0000398"
"query_1","TRUE","6.67773130332134e-05","23","3794","19","0.00500790722192936","0.826086956521739","GO:0051383","GO:BP","kinetochore organization","11884","12776","GO:0051276"
"query_1","TRUE","8.12487146732754e-05","1138","3794","436","0.114918292040063","0.383128295254833","GO:0033554","GO:BP","cellular response to stress","11884","7729","c(""GO:0006950"", ""GO:0051716"")"
