"","AGAL_control_differentiated_1","AGAL_control_undifferentiated_1","AGAL_control_differentiated_2","AGAL_control_undifferentiated_2","AGAL_control_differentiated_3","AGAL_control_undifferentiated_3","AGAL_knockout_differentiated_1","AGAL_knockout_undifferentiated_1","AGAL_knockout_differentiated_2","AGAL_knockout_undifferentiated_2","AGAL_knockout_differentiated_3","AGAL_knockout_undifferentiated_3"
"ENSBTAG00000008613",558.023325288377,661.164974417697,582.603762463963,482.667733943833,527.004644106787,480.40348343007,613.185866739643,514.113209157954,673.736348779743,558.887042992621,865.818020628263,589.457550528055
"ENSBTAG00000008614",5.1724093037304,0,13.7699111756096,0,33.1666913222007,7.87448951843582,9.37464279410554,4.30989985412553,22.5652501379339,9.98011096251588,7.36289434781275,6.84231381772981
"ENSBTAG00000008617",881.829034991518,1508.73434015939,791.550279338181,945.516675260428,763.74163605304,1250.65245995609,660.883217010879,1275.8403059855,1213.27370495003,1614.99697529263,1526.4680484301,1174.88509409555
"ENSBTAG00000008619",452.639924402607,209.963207808868,424.822925672786,188.756847603169,329.800223776314,189.071485790185,269.091760448981,219.265350613038,406.070779845623,254.981793574991,601.999244813914,230.715467395422
"ENSBTAG00000008621",4916.65620931007,5134.7827508307,4428.44741471246,4609.4434843993,4887.92197632374,5184.75809756638,5432.60851442814,5515.24954616325,4770.10696315177,5034.25817996325,5226.5856398369,5412.87403443821
"ENSBTAG00000008625",180.654069443192,312.070451905773,215.164526401323,157.967038169905,225.845058813821,241.378324048244,107.990755582923,187.517553295689,110.722664759644,185.980196429577,107.026995305978,158.452493056698
"ENSBTAG00000008626",18.4538118808072,11.0423410017629,21.6004766587369,21.7975187490857,15.092829136468,7.32231515056002,47.1495588839365,37.6500677455161,29.4305554100393,13.0373856989452,12.9384606903992,5.74361746780572
"ENSBTAG00000008629",1836.9358219373,1944.89446465181,2163.0091928303,1979.24409135051,1772.79917069342,1844.78782050639,1858.6582158849,1881.7381330786,2056.98540757473,2187.65006733929,1702.44823771598,1698.76831010973
"ENSBTAG00000008631",0,15.3707925993564,2.62518762496575,32.9232545613113,3.13042962904815,44.0398764700929,8.32148889512745,57.2665753331335,19.1876048624512,41.2826874113761,39.1861552761396,5.56908623873815
"ENSBTAG00000008632",104.999217666038,128.40588530168,100.429911087106,116.073282576744,158.451184530131,160.850218654101,93.4540656101205,96.8277546982156,115.68378609826,120.653868869539,141.735347372067,100.352266887482
