"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSBTAG00000002612",662.417817292849,-0.512339457780225,0.143145372949477,-3.57915486350408,0.000344707163840446,0.00107943270105394,"FANCM"
"ENSBTAG00000002613",1288.53279004857,-3.16955330865386,0.536631238736874,-5.90638986301725,3.49685886722997e-09,2.56693837544451e-08,"MIS18BP1"
"ENSBTAG00000002614",833.623735314964,0.377579843854683,0.127049923628703,2.97190138388544,0.00295961730735048,0.00741578252085874,"RUFY2"
"ENSBTAG00000002615",125.945384330354,0.728171708935098,0.711134884404327,1.02395723357748,0.305855475175201,0.409732756452211,"LONRF3"
"ENSBTAG00000002620",327.12581008438,-2.71557609174607,0.456129404761568,-5.95352122313969,2.62433805535271e-09,1.96646245026014e-08,"DNA2"
"ENSBTAG00000002624",44.7986950085753,1.10432601027121,0.815967291886713,1.35339494763049,0.175929490666188,0.26053081739987,"PSTPIP2"
"ENSBTAG00000002625",3010.86673723377,0.690509541179682,0.297234423228709,2.32311430714862,0.0201730125875606,0.0409624408058123,"MAP3K7"
"ENSBTAG00000002626",270.47338164276,-0.0168402977669018,0.349025083742209,-0.0482495343496288,0.96151737342726,0.972508688723536,"ARHGAP6"
"ENSBTAG00000002627",1342.17924546198,-0.30208193831402,0.145354329736351,-2.07824520165272,0.0376867807657112,0.0705879385770464,"ZRANB2"
"ENSBTAG00000002628",6767.82751408424,-0.030453214006774,0.124164026219803,-0.245265999612995,0.806250476213478,0.856950796588212,"SLC44A2"
"ENSBTAG00000002630",1502.86484449708,0.784992125876103,0.147660426733681,5.31619841036968,1.05957610820806e-07,6.21952949429796e-07,"MRTFA"
"ENSBTAG00000002633",5388.49728828434,-0.355530903635684,0.242908545288123,-1.46364098971477,0.143292066703464,0.219803867597854,"SEPTIN9"
"ENSBTAG00000002639",1243.90463986555,-0.329900378412932,0.242521643994379,-1.36029252061552,0.173737374279988,0.257536257844224,"ZDHHC7"
"ENSBTAG00000002640",237.554197224607,1.79712906921575,0.373800889942318,4.8077174709056,1.52663309374254e-06,7.50887005905467e-06,"KALRN"
"ENSBTAG00000002643",690.711279913578,0.296229313027712,0.177470711427161,1.66917296181174,0.0950831069227356,0.155932009169897,"VPS52"
"ENSBTAG00000002645",762.073197720804,0.401766658237683,0.145838634647077,2.75487122606392,0.00587152397303677,0.013627548103596,"SH3BP5L"
"ENSBTAG00000002646",5168.79321763939,-0.450981654244696,0.1003951021145,-4.49206828566552,7.05347984441505e-06,3.0751808189083e-05,"DYNC1I2"
"ENSBTAG00000002647",169.663481429216,0.0896605576353676,0.430256198880142,0.208388764342579,0.834925428522027,0.87848070504326,"RGS10"
"ENSBTAG00000002648",9833.98194569112,-0.204001861386171,0.108241082254851,-1.8846990175676,0.0594704850884692,0.104680655893909,"RPS18"
"ENSBTAG00000002650",1386.60067095605,-0.862267461101346,0.116396800492043,-7.40799968260544,1.2821861075335e-13,1.78488222642976e-12,"ZPR1"
"ENSBTAG00000002651",347.704103328937,0.503772263811203,1.12112266876622,0.449346247155626,0.6531819009424,0.737162981045774,"PKP2"
"ENSBTAG00000002654",2310.96929738729,-0.963711023004976,0.105690045515384,-9.11827616598671,7.63287059245597e-20,2.40931560250873e-18,"DNAJC7"
"ENSBTAG00000002655",405.186285042788,-1.9287827082097,0.32748330702395,-5.88971305358364,3.86866760374332e-09,2.81531972131776e-08,"ZWINT"
"ENSBTAG00000002657",457.535592823165,0.309841880148817,0.147601242695417,2.09918205626624,0.0358008551619425,0.0675566577902684,"NKIRAS2"
"ENSBTAG00000002658",871.722627946744,0.089003454966064,0.171081186887506,0.520241042193541,0.602895582824602,0.695491971561756,"STAM"
"ENSBTAG00000002663",537.041122693249,0.442291700567203,0.202529417886884,2.18383929199969,0.0289740592245279,0.0562290918796325,"BCAS3"
"ENSBTAG00000002668",616.658132752126,0.184429940783347,0.279567335338732,0.659697745303066,0.50944781387141,0.614119543435213,"ZNF711"
"ENSBTAG00000002669",423.535396292609,2.16529309191035,0.52749024031488,4.10489697518916,4.0449510746286e-05,0.000153922701230442,"RASSF4"
"ENSBTAG00000002670",45.5248818068853,2.02356284676871,0.707787797731781,2.8589965145677,0.00424983454137153,0.0102264934094448,"DEPP1"
